Type,Country,Activity,Sex,Age,Fatal,Species
Unprovoked,USA,Surfing,M,42,N,unknown
Unprovoked,USA,Floating,M,32,N,tiger shark
Unprovoked,USA,Surfing,M,22,N,unknown
Unprovoked,USA,Surfing,M,16,N,blacktip shark
Unprovoked,USA,Surfing,M,23,N,unknown
Unprovoked,USA,Surfing,F,Teen,N,unknown
Unprovoked,USA,Snorkeling,M,14,N,nurse shark
Unprovoked,USA,Jumping,F,12,N,unknown
Unprovoked,USA,Swimming,M,58,N,spinner shark
Unprovoked,USA,Body boarding,M,15,N,tiger shark
Unprovoked,USA,Surfing,M,24,N,white shark
Unprovoked,USA,Surfing,M,54,N,unknown
Unprovoked,USA,Surfing,M,27,N,unknown
Unprovoked,USA,Surfing,M,16,N,unknown
Unprovoked,USA,Floating near boat & observing bioluminesce,M,20,N,bull shark
Unprovoked,USA,Swimming,F,15,N,unknown
Unprovoked,USA,Jumped into the water,F,19,N,bull shark
Unprovoked,USA,Snorkeling,M,36,N,unknown
Unprovoked,USA,Swimming,M,14,N,unknown
Unprovoked,USA,Wading,F,30,N,unknown
Unprovoked,USA,Surfing,M,20,N,unknown
Provoked,USA,Reviving a sedated shark,F,40,N,reef shark
Unprovoked,USA,Surfing,F,21,N,unknown
Unprovoked,USA,Snorkeling,F,63,N,tiger shark
Unprovoked,USA,Swimming,M,68,N,unknown
Unprovoked,USA,Body boarding,M,12,N,spinner shark
Unprovoked,USA,Surfing,M,24,N,unknown
Unprovoked,USA,Surfing,M,27,N,unknown
Unprovoked,USA,Surfing,M,11,N,unknown
Unprovoked,USA,Surfing,M,24,N,tiger shark
Unprovoked,USA,Surfing,M,43,N,white shark
Unprovoked,USA,Swimming,M,29,N,unknown
Unprovoked,USA,Surfing,M,22,N,white shark
Unprovoked,USA,Playing soccer in the water,M,18,N,unknown
Unprovoked,USA,Swimming,M,55,N,spinner shark
Unprovoked,USA,Surfing,M,52,N,unknown
Unprovoked,USA,Standing,M,33,N,unknown
Unprovoked,USA,Surfing,M,41,N,white shark
Unprovoked,USA,Surfing,M,14,N,unknown
Unprovoked,USA,Standing,M,49,N,angel shark
Unprovoked,USA,Body boarding,F,14,N,bull shark
Unprovoked,USA,Spearfishing,F,28,N,reef shark
